SPEEDELEC Booster; 35; 10900; false; 13200; green; 1279
SPEEDELEC Speedelec Minirider; 25; 15900; true; 14200; pink; 299
SPEEDELEC Smart; 10; 15000; false; 7200; olive; 455
FOLDING BIKE West Bike; 14; 9; 11500; false; golden; 1075
SPEEDELEC ITrike; 25; 14500; false; 5600; marine; 259
SPEEDELEC Maraton; 40; 15000; true; 7500; golden; 269
SPEEDELEC Speedelec Minirider; 15; 10000; false; 13900; coral; 855
FOLDING BIKE Intertool; 26; 21; 11700; true; violet; 689
SPEEDELEC ITrike; 55; 15000; false; 14500; emerald; 945
FOLDING BIKE Make Bike; 24; 1; 16300; false; grenadine; 1249
SPEEDELEC Smart; 65; 17800; false; 13300; khaki; 985
SPEEDELEC ITrike; 60; 18700; false; 7000; blue; 1109
FOLDING BIKE Comanche; 16; 21; 16500; true; lemon; 1015
E-BIKE Rover; 45; 27300; false; 12000; grenadine; 2799
FOLDING BIKE Crosser; 24; 3; 16000; false; marine; 1129
FOLDING BIKE Titan; 26; 1; 13800; false; blue; 1655
FOLDING BIKE Polygon; 18; 7; 8200; true; rose; 1005
FOLDING BIKE Cayman; 26; 1; 16300; false; khaki; 605
FOLDING BIKE Trinx; 26; 3; 8400; true; flame; 455
E-BIKE Xiaomi; 65; 26300; false; 29000; yellow; 3489
SPEEDELEC Ultron; 25; 16000; true; 10400; violet; 909
SPEEDELEC Peugeot; 20; 9900; true; 2500; orange; 809
SPEEDELEC Speedway; 45; 7100; false; 9700; red; 615
SPEEDELEC Maraton; 20; 19800; false; 15900; silver; 1215
FOLDING BIKE Titan; 14; 9; 13100; false; orange; 1055
FOLDING BIKE Comanche; 20; 27; 11700; false; yellow; 1349
FOLDING BIKE Crosser; 24; 6; 9500; false; lemon; 1675
E-BIKE Farad; 25; 20700; false; 13000; blue; 2355
E-BIKE Xiaomi; 65; 22100; false; 11000; dark gray; 1905
SPEEDELEC Ultron; 35; 7600; false; 3900; grenadine; 1179
SPEEDELEC Dualtron; 35; 12900; true; 9900; grey; 379
SPEEDELEC AirWheel; 45; 9900; true; 11400; grenadine; 469
E-BIKE Zaxboard; 30; 20300; false; 30000; yellow; 1975
E-BIKE Rover; 20; 21400; false; 16000; flame; 1659
FOLDING BIKE Brompton; 20; 6; 9600; true; orange; 885
E-BIKE ION; 20; 20200; false; 20000; grey; 1989
E-BIKE Zaxboard; 30; 22500; false; 28000; pink; 3345
FOLDING BIKE West Bike; 18; 18; 15700; false; lemon; 339
SPEEDELEC Speedelec Minirider; 55; 6900; true; 3800; yellow; 685
E-BIKE Gazelle; 35; 24700; true; 22000; brown; 3219
SPEEDELEC Xiaomi; 35; 15300; false; 11700; beige; 1269
FOLDING BIKE Make Bike; 16; 18; 8900; false; orange; 1109
E-BIKE Zaxboard; 65; 23300; false; 16000; grenadine; 1275
E-BIKE Ferrari; 25; 21900; false; 15000; green; 1689
FOLDING BIKE Crosser; 20; 9; 9500; true; rose; 979
E-BIKE Mercedes; 50; 24200; true; 21000; orange; 3459
SPEEDELEC Ultron; 40; 11900; true; 7100; white; 1305
FOLDING BIKE Trinx; 18; 18; 9600; false; yellow; 359
SPEEDELEC ITrike; 60; 19600; true; 9800; red; 1385
SPEEDELEC ITrike; 60; 13200; false; 13800; orange; 475
FOLDING BIKE VNV; 26; 3; 14600; false; beige; 715
FOLDING BIKE Dahon; 24; 21; 9000; false; dark gray; 485
E-BIKE Mando Footloose; 40; 21500; false; 28000; white; 1815
E-BIKE Ferrari; 30; 19200; false; 9000; beige; 3059
SPEEDELEC Ultron; 30; 20300; true; 14800; green; 299
FOLDING BIKE Polygon; 16; 24; 11100; false; lemon; 1379
E-BIKE Farad; 65; 28500; false; 25000; grenadine; 3385
SPEEDELEC Dualtron; 50; 16100; false; 2600; violet; 1645
FOLDING BIKE Flex; 24; 21; 12400; true; silver; 1559
E-BIKE Zaxboard; 45; 24300; true; 23000; marine; 1535
FOLDING BIKE Kross; 18; 6; 8800; true; golden; 379
FOLDING BIKE Dahon; 20; 3; 8000; true; lemon; 779
E-BIKE Porshe Design; 50; 28100; true; 13000; pink; 755
FOLDING BIKE Author; 24; 27; 13200; false; flame; 325
FOLDING BIKE BMW; 18; 27; 10600; true; dark gray; 1549
E-BIKE Rover; 20; 26100; false; 29000; grenadine; 2219
E-BIKE Felt; 20; 19300; true; 16000; flame; 2745
SPEEDELEC E-Scooter; 35; 9700; false; 11500; yellow; 559
SPEEDELEC Maraton; 65; 16300; true; 12100; red; 1499
SPEEDELEC Xiaomi; 55; 9500; false; 12500; golden; 779
E-BIKE Haibike; 60; 25700; true; 8000; golden; 1299
E-BIKE E-Motion; 35; 25700; false; 16000; blue; 3399
E-BIKE ElectrO; 20; 19100; false; 30000; dark gray; 3259
SPEEDELEC Aest; 55; 21800; false; 8400; blue; 359
E-BIKE ElectrO; 50; 22600; false; 22000; emerald; 2205
FOLDING BIKE Brompton; 20; 7; 8000; false; dark gray; 999
SPEEDELEC Dualtron; 25; 21900; true; 6500; silver; 1419
E-BIKE Zaxboard; 25; 26200; true; 22000; silver; 705
FOLDING BIKE Polygon; 16; 21; 16800; false; khaki; 295
FOLDING BIKE Author; 14; 9; 9100; false; lemon; 529
SPEEDELEC Segway; 25; 16800; false; 2200; silver; 929
SPEEDELEC Speedway; 35; 18400; true; 11900; grey; 339
FOLDING BIKE Titan; 24; 6; 14400; true; khaki; 359
E-BIKE E-Motion; 40; 19100; false; 26000; khaki; 1015
SPEEDELEC Dualtron; 25; 10000; true; 9100; brown; 1279
SPEEDELEC Booster; 20; 15000; false; 10300; orange; 399
FOLDING BIKE Cayman; 26; 18; 8600; true; brown; 389
E-BIKE Rover; 60; 27300; false; 11000; red; 1155
SPEEDELEC E-Scooter; 25; 9700; false; 14700; beige; 939
FOLDING BIKE Trinx; 24; 3; 8800; false; rose; 699
FOLDING BIKE Brompton; 26; 7; 15100; true; golden; 255
FOLDING BIKE Dahon; 24; 18; 9000; false; red; 1505
E-BIKE Ferrari; 65; 27300; true; 18000; rose; 1675
E-BIKE Scott; 20; 27100; false; 20000; black; 2565
E-BIKE Porshe Design; 65; 28600; true; 11000; yellow; 1085
FOLDING BIKE Flex; 16; 18; 12500; false; grenadine; 905
E-BIKE Ecofect; 45; 24500; true; 27000; yellow; 2929
E-BIKE Xiaomi; 50; 26400; false; 15000; red; 679
FOLDING BIKE Stern; 26; 24; 11200; true; black; 339
FOLDING BIKE Intertool; 24; 9; 10600; false; blue; 725
E-BIKE Felt; 60; 22400; true; 25000; violet; 719
SPEEDELEC Ultron; 20; 8100; false; 3800; black; 779
FOLDING BIKE Benetti; 20; 27; 15100; true; lemon; 1095
SPEEDELEC EcoRide; 50; 19500; false; 11100; green; 449
FOLDING BIKE Cayman; 26; 18; 12500; true; coral; 1185
E-BIKE SkyBike; 30; 22800; false; 19000; red; 3305
SPEEDELEC EcoRide; 15; 7200; false; 11200; green; 1135
SPEEDELEC ITrike; 35; 18900; false; 7600; flame; 1235
FOLDING BIKE Dahon; 16; 1; 12100; false; grey; 799
E-BIKE Porshe Design; 35; 20100; true; 25000; dark gray; 759
FOLDING BIKE Dahon; 20; 18; 16500; true; olive; 1215
FOLDING BIKE Formula; 24; 8; 10300; true; silver; 619
FOLDING BIKE Intertool; 24; 9; 13300; false; silver; 529
FOLDING BIKE Formula; 16; 6; 16900; false; golden; 445
FOLDING BIKE Make Bike; 26; 27; 8100; true; red; 305
E-BIKE Mando Footloose; 20; 22000; true; 16000; blue; 2539
SPEEDELEC E-Scooter; 30; 10500; false; 9200; emerald; 155
E-BIKE Xiaomi; 20; 28900; true; 31000; khaki; 1739
E-BIKE Felt; 35; 22800; false; 13000; beige; 1975
E-BIKE Farad; 35; 27000; true; 12000; blue; 1579
SPEEDELEC Smart; 45; 8500; true; 12400; yellow; 545
SPEEDELEC Ultron; 65; 21600; false; 4800; silver; 599
SPEEDELEC Smart; 45; 21100; true; 6200; violet; 339
E-BIKE Ecofect; 30; 21000; true; 10000; orange; 2479
E-BIKE SkyBike; 65; 23200; false; 31000; khaki; 675
E-BIKE Scott; 30; 28000; true; 31000; olive; 1125
SPEEDELEC Dualtron; 15; 16900; false; 7500; black; 225
FOLDING BIKE SkyBike; 16; 9; 14800; true; yellow; 1049
FOLDING BIKE Dahon; 20; 1; 13100; false; grenadine; 1329
FOLDING BIKE Crosser; 20; 1; 14800; true; white; 395
E-BIKE Ecofect; 25; 26400; false; 17000; silver; 1145
FOLDING BIKE Dahon; 24; 7; 10900; false; violet; 1515
E-BIKE Gazelle; 25; 28900; false; 12000; red; 2129
E-BIKE ION; 45; 23500; false; 24000; pink; 739
E-BIKE GoCycle; 65; 25200; true; 26000; dark gray; 2829
E-BIKE Mando Footloose; 55; 20600; false; 21000; coral; 1385
E-BIKE SkyBike; 55; 25900; false; 9000; silver; 3239
FOLDING BIKE Crosser; 20; 18; 13800; false; khaki; 249
E-BIKE Gazelle; 55; 23800; false; 22000; marine; 3375
SPEEDELEC Dualtron; 65; 6600; false; 6300; grenadine; 1435
FOLDING BIKE Polygon; 24; 3; 14000; false; khaki; 639
FOLDING BIKE Dahon; 26; 27; 12600; false; beige; 1025
SPEEDELEC Speedway; 30; 13200; true; 15600; brown; 1575
FOLDING BIKE Benetti; 20; 6; 16000; false; dark gray; 289
FOLDING BIKE Benetti; 20; 21; 13600; false; lemon; 1399
E-BIKE Haibike; 30; 26200; false; 24000; red; 1979
E-BIKE SkyBike; 60; 20700; false; 15000; violet; 2119
E-BIKE SkyBike; 40; 27400; true; 8000; orange; 1699
FOLDING BIKE Crosser; 20; 18; 14000; true; violet; 369
E-BIKE Xiaomi; 55; 23600; false; 8000; black; 2555
FOLDING BIKE West Bike; 18; 27; 11700; false; emerald; 1439
SPEEDELEC Smart; 55; 9400; true; 12700; white; 535
E-BIKE Gazelle; 60; 20600; false; 11000; emerald; 2879
E-BIKE Ferrari; 50; 28500; false; 25000; golden; 1489
SPEEDELEC Xiaomi; 25; 13500; true; 7300; blue; 1569
SPEEDELEC Dualtron; 15; 11800; true; 10500; yellow; 1449
FOLDING BIKE Author; 20; 8; 9300; true; emerald; 1355
E-BIKE Ferrari; 20; 23800; true; 14000; violet; 2479
SPEEDELEC Freego; 65; 18400; false; 5000; yellow; 1309
SPEEDELEC Speedelec Minirider; 15; 10000; false; 15100; orange; 1349
SPEEDELEC Kugoo; 20; 11600; true; 13500; dark gray; 349
E-BIKE GoCycle; 55; 25000; false; 23000; flame; 2189
SPEEDELEC Dualtron; 30; 15500; false; 4900; red; 439
E-BIKE Felt; 30; 25200; false; 10000; dark gray; 2845
E-BIKE Rover; 40; 28100; false; 13000; grenadine; 1649
FOLDING BIKE Polygon; 24; 27; 10600; true; grey; 645
E-BIKE Zaxboard; 55; 22400; true; 27000; blue; 2249
E-BIKE GoCycle; 50; 24400; true; 22000; coral; 2195
E-BIKE Koga; 20; 22900; false; 12000; olive; 2129
E-BIKE Lankeleisi; 50; 22500; false; 13000; golden; 795
FOLDING BIKE Intertool; 20; 1; 14300; true; khaki; 859
SPEEDELEC Xiaomi; 45; 18200; false; 10400; white; 679
SPEEDELEC OIO; 10; 19300; false; 14500; red; 265
FOLDING BIKE Stern; 24; 21; 12800; false; blue; 725
E-BIKE Koga; 65; 20200; true; 19000; grey; 3185
FOLDING BIKE BMW; 20; 9; 14600; true; marine; 1605
SPEEDELEC AirWheel; 15; 9900; true; 14000; olive; 1009
E-BIKE Zaxboard; 55; 20700; false; 27000; marine; 909
E-BIKE Scott; 25; 21300; true; 15000; pink; 3359
SPEEDELEC Booster; 65; 6600; false; 11700; pink; 605
SPEEDELEC Maraton; 55; 17500; false; 2100; dark gray; 765
SPEEDELEC Ultron; 50; 20500; false; 13000; emerald; 549
FOLDING BIKE Titan; 24; 3; 10600; false; grenadine; 1075
SPEEDELEC Booster; 60; 16200; false; 8100; red; 329
E-BIKE GoCycle; 55; 19600; true; 14000; yellow; 1949
SPEEDELEC Speedway; 50; 21200; false; 15900; dark gray; 1159
SPEEDELEC Segway; 50; 12800; true; 4800; green; 1319
E-BIKE Rover; 35; 22400; false; 11000; rose; 2429
FOLDING BIKE Dahon; 24; 9; 10600; false; lemon; 389
SPEEDELEC ITrike; 65; 21800; false; 12900; violet; 1389
FOLDING BIKE Titan; 20; 6; 13100; true; rose; 365
FOLDING BIKE Titan; 24; 3; 13100; true; olive; 875
FOLDING BIKE West Bike; 24; 9; 9600; true; beige; 1315
FOLDING BIKE Author; 20; 21; 14000; false; grenadine; 1075
FOLDING BIKE Stern; 18; 3; 14500; false; rose; 1635
E-BIKE Felt; 60; 21000; false; 26000; dark gray; 2279
E-BIKE Scott; 45; 21800; true; 28000; dark gray; 2039
FOLDING BIKE Crosser; 16; 6; 11700; true; black; 1065
SPEEDELEC Segway; 20; 7600; true; 2200; olive; 669
SPEEDELEC E-Scooter; 65; 19400; true; 3800; grey; 1115
FOLDING BIKE Comanche; 20; 18; 9100; true; violet; 1025
E-BIKE Xiaomi; 30; 22800; true; 25000; coral; 3119
E-BIKE Zaxboard; 20; 27000; true; 23000; yellow; 1309
SPEEDELEC Peugeot; 55; 6800; true; 12900; khaki; 515
FOLDING BIKE Cayman; 24; 7; 15600; false; golden; 999
SPEEDELEC EcoRide; 45; 8400; false; 8300; beige; 1615
FOLDING BIKE Dahon; 14; 7; 13900; false; khaki; 1009
SPEEDELEC Smart; 20; 8700; true; 10500; silver; 1239
SPEEDELEC Speedway; 45; 21300; false; 4400; green; 1279
FOLDING BIKE Flex; 26; 3; 14800; false; golden; 205
SPEEDELEC Speedelec Minirider; 25; 20400; false; 10900; grenadine; 1465
E-BIKE ION; 25; 19600; false; 8000; green; 2209
E-BIKE Lankeleisi; 60; 19100; false; 28000; flame; 2989
FOLDING BIKE Kross; 20; 7; 15800; false; red; 439
FOLDING BIKE Make Bike; 14; 8; 10000; true; olive; 1149
SPEEDELEC Tesla; 35; 20300; true; 7700; flame; 135
FOLDING BIKE Intertool; 24; 27; 9400; false; violet; 1585
SPEEDELEC ITrike; 10; 20900; true; 5700; golden; 1475
SPEEDELEC AirWheel; 20; 14300; false; 4000; yellow; 1635
E-BIKE Scott; 65; 24400; false; 15000; brown; 1215
E-BIKE Koga; 35; 28100; true; 25000; silver; 2125
SPEEDELEC Booster; 15; 19000; false; 6600; green; 359
E-BIKE ElectrO; 20; 22500; false; 31000; rose; 2029
FOLDING BIKE Comanche; 20; 9; 11100; true; beige; 1639
E-BIKE Mando Footloose; 40; 24200; false; 16000; golden; 2255
SPEEDELEC Booster; 55; 19200; true; 2900; pink; 549
SPEEDELEC OIO; 20; 7600; true; 13500; violet; 849
SPEEDELEC Ultron; 20; 12900; false; 12300; grenadine; 425
SPEEDELEC Xiaomi; 10; 9700; true; 8400; silver; 795
FOLDING BIKE Titan; 24; 9; 15000; true; lemon; 1525
SPEEDELEC Xiaomi; 10; 20800; true; 10400; brown; 505
E-BIKE Zaxboard; 60; 28500; false; 27000; silver; 1319
SPEEDELEC Speedelec Minirider; 35; 9000; true; 4200; black; 1479
E-BIKE Haibike; 55; 27400; true; 12000; rose; 1955
FOLDING BIKE BMW; 20; 27; 13200; false; golden; 1289
E-BIKE Mando Footloose; 35; 24300; false; 26000; yellow; 1369
E-BIKE ElectrO; 60; 25700; false; 19000; blue; 1725
E-BIKE Lankeleisi; 35; 27800; true; 26000; coral; 3175
E-BIKE Felt; 60; 27500; false; 29000; blue; 2825
E-BIKE Mercedes; 25; 19400; true; 23000; blue; 1719
SPEEDELEC AirWheel; 65; 12200; false; 13400; rose; 609
SPEEDELEC Segway; 45; 6800; false; 3700; flame; 259
SPEEDELEC Aest; 35; 18100; true; 5000; violet; 1049
E-BIKE ION; 60; 27200; false; 28000; emerald; 1939
E-BIKE ElectrO; 40; 23600; false; 11000; orange; 2445
SPEEDELEC Speedelec Minirider; 65; 14500; true; 13600; marine; 1279
SPEEDELEC Segway; 45; 20700; false; 10700; yellow; 689
E-BIKE Zaxboard; 35; 24600; true; 17000; khaki; 2015
E-BIKE Gazelle; 65; 25500; true; 28000; emerald; 3049
E-BIKE Farad; 60; 21200; false; 16000; green; 1949
FOLDING BIKE Stern; 20; 8; 15500; false; dark gray; 519
FOLDING BIKE Flex; 24; 21; 9700; false; dark gray; 1539
E-BIKE ElectrO; 65; 27100; false; 15000; green; 2615
E-BIKE Gazelle; 60; 26600; true; 12000; emerald; 2985
SPEEDELEC EcoRide; 30; 19900; false; 2100; olive; 369
SPEEDELEC E-Scooter; 60; 14900; true; 2900; white; 129
E-BIKE Farad; 50; 25900; true; 23000; emerald; 2039
SPEEDELEC ITrike; 55; 14100; false; 14100; marine; 1459
FOLDING BIKE Flex; 26; 3; 13700; true; olive; 1129
FOLDING BIKE VNV; 26; 6; 10800; true; red; 1435
SPEEDELEC Smart; 30; 19300; false; 12700; marine; 1259
SPEEDELEC Ultron; 55; 19600; true; 9900; olive; 1515
FOLDING BIKE Flex; 24; 8; 12600; true; emerald; 825
E-BIKE Scott; 40; 21600; true; 25000; brown; 1049
E-BIKE Koga; 20; 22200; false; 27000; pink; 839
SPEEDELEC Maraton; 45; 9200; false; 7400; marine; 1369
SPEEDELEC AirWheel; 35; 7100; true; 13600; green; 399
FOLDING BIKE Stern; 26; 27; 8200; true; olive; 1325
SPEEDELEC Dualtron; 25; 7000; true; 5100; coral; 1595
SPEEDELEC Peugeot; 15; 11900; false; 11600; rose; 1589
E-BIKE Koga; 60; 20400; true; 28000; white; 2829
SPEEDELEC E-Scooter; 60; 9600; false; 2700; rose; 1415
SPEEDELEC E-Scooter; 40; 19800; false; 3000; grenadine; 709
SPEEDELEC EcoRide; 10; 18400; true; 13200; black; 335
SPEEDELEC Aest; 40; 15100; true; 7700; olive; 159
SPEEDELEC OIO; 10; 12100; true; 9200; blue; 1169
SPEEDELEC Segway; 50; 14300; true; 12700; coral; 609
SPEEDELEC Tesla; 20; 15200; true; 9700; blue; 1015
FOLDING BIKE BMW; 26; 27; 10800; false; grenadine; 745
SPEEDELEC Booster; 30; 18500; true; 12700; coral; 885
FOLDING BIKE Comanche; 20; 21; 11400; false; orange; 985
FOLDING BIKE Titan; 26; 21; 11200; true; blue; 785
SPEEDELEC Aest; 40; 14100; true; 6000; silver; 409
SPEEDELEC Tesla; 35; 16200; true; 6500; coral; 439
FOLDING BIKE Make Bike; 20; 3; 10300; true; silver; 955
SPEEDELEC Xiaomi; 55; 6500; false; 3700; blue; 595
SPEEDELEC Xiaomi; 45; 20900; true; 14900; black; 655
FOLDING BIKE Brompton; 24; 24; 14500; true; dark gray; 1145
E-BIKE Zaxboard; 60; 26300; true; 28000; yellow; 1675
E-BIKE ElectrO; 40; 23400; false; 25000; flame; 1329
SPEEDELEC Peugeot; 45; 17200; false; 9100; white; 1599
SPEEDELEC Peugeot; 40; 14800; true; 13200; rose; 339
E-BIKE Felt; 65; 22000; true; 11000; rose; 1235
FOLDING BIKE Crosser; 24; 1; 16100; true; orange; 265
E-BIKE Rover; 60; 27100; true; 20000; beige; 1399
SPEEDELEC Booster; 50; 11900; false; 5700; pink; 1565
SPEEDELEC OIO; 45; 10400; true; 11300; golden; 355
E-BIKE Gazelle; 50; 26900; true; 15000; green; 2359
E-BIKE Ecofect; 25; 23100; true; 31000; marine; 3419
SPEEDELEC Speedelec Minirider; 65; 20000; true; 8100; black; 1409
SPEEDELEC Speedelec Minirider; 55; 12200; true; 12200; rose; 739
SPEEDELEC Peugeot; 60; 19300; true; 11300; beige; 185
E-BIKE Farad; 50; 22400; false; 14000; red; 1539
SPEEDELEC Freego; 65; 18600; false; 14600; white; 209
SPEEDELEC Aest; 50; 15600; false; 7600; yellow; 379
FOLDING BIKE Comanche; 20; 7; 15600; false; pink; 459
E-BIKE Scott; 35; 25300; false; 16000; olive; 3019
E-BIKE Mercedes; 60; 24300; true; 14000; silver; 1505
SPEEDELEC AirWheel; 45; 9200; true; 15100; emerald; 815
FOLDING BIKE VNV; 24; 1; 14400; true; white; 235
SPEEDELEC Speedelec Minirider; 30; 17600; true; 7900; coral; 1195
SPEEDELEC Speedelec Minirider; 65; 12300; true; 6200; dark gray; 1399
E-BIKE Rover; 30; 19000; true; 22000; grey; 3369
SPEEDELEC ITrike; 45; 13000; true; 8100; grenadine; 1185
E-BIKE Farad; 20; 20400; true; 20000; beige; 2509
FOLDING BIKE Trinx; 24; 6; 8200; false; orange; 1559
SPEEDELEC E-Scooter; 50; 12700; false; 4500; black; 299
FOLDING BIKE Dahon; 14; 21; 13500; false; coral; 475
FOLDING BIKE Formula; 20; 24; 16600; true; grenadine; 1585
FOLDING BIKE Dahon; 20; 9; 13900; true; silver; 1685
SPEEDELEC EcoRide; 20; 12100; true; 5400; golden; 1199
FOLDING BIKE Trinx; 26; 24; 14500; true; green; 905
FOLDING BIKE Intertool; 26; 9; 13400; false; emerald; 435
E-BIKE Rover; 45; 25700; false; 23000; orange; 3069
FOLDING BIKE Stern; 16; 1; 13500; true; white; 899
E-BIKE Rover; 20; 19000; true; 11000; khaki; 1009
FOLDING BIKE Brompton; 24; 3; 10400; true; olive; 1315
FOLDING BIKE Crosser; 20; 1; 14700; true; silver; 375
FOLDING BIKE Dahon; 24; 8; 13100; true; silver; 229
SPEEDELEC Speedelec Minirider; 10; 7800; false; 8900; grey; 869
SPEEDELEC AirWheel; 15; 12500; true; 13400; blue; 1675
E-BIKE Mando Footloose; 30; 20700; true; 23000; dark gray; 2849
SPEEDELEC Kugoo; 10; 15800; false; 14100; orange; 1575
E-BIKE ION; 35; 28400; true; 31000; yellow; 3245
SPEEDELEC Tesla; 65; 12600; true; 6400; brown; 199
FOLDING BIKE West Bike; 26; 18; 16400; true; green; 335
FOLDING BIKE West Bike; 20; 18; 11200; false; red; 419
SPEEDELEC Maraton; 25; 21100; true; 12300; lemon; 909
FOLDING BIKE Make Bike; 18; 1; 12200; false; lemon; 1305
FOLDING BIKE West Bike; 18; 21; 15100; false; coral; 1065
SPEEDELEC E-Scooter; 45; 13500; true; 6100; white; 659
SPEEDELEC Maraton; 50; 21400; true; 11300; green; 1105
SPEEDELEC Speedway; 50; 7200; false; 11800; olive; 1325
SPEEDELEC Smart; 35; 20000; false; 11700; golden; 245
E-BIKE Mercedes; 55; 25800; true; 27000; olive; 825
FOLDING BIKE Formula; 20; 8; 16000; false; green; 669
SPEEDELEC Tesla; 65; 18900; false; 13900; olive; 229
FOLDING BIKE SkyBike; 26; 9; 8700; false; grey; 1179
SPEEDELEC Kugoo; 35; 14400; false; 7800; golden; 745
FOLDING BIKE Titan; 20; 24; 11800; false; flame; 1499
FOLDING BIKE Benetti; 14; 7; 13400; true; coral; 305
E-BIKE GoCycle; 35; 27900; false; 10000; brown; 2685
FOLDING BIKE Trinx; 20; 21; 12300; false; rose; 1425
E-BIKE E-Motion; 50; 23300; true; 19000; dark gray; 3419
SPEEDELEC AirWheel; 50; 8400; true; 7900; emerald; 1599
SPEEDELEC E-Scooter; 10; 15800; false; 3100; yellow; 1375
E-BIKE Farad; 30; 28700; true; 14000; yellow; 2245
SPEEDELEC OIO; 45; 10300; true; 13400; pink; 959
E-BIKE Mando Footloose; 35; 23000; true; 19000; green; 2495
SPEEDELEC Xiaomi; 40; 6500; false; 9000; silver; 375
FOLDING BIKE Author; 24; 7; 11900; true; red; 685
E-BIKE Farad; 45; 21500; true; 12000; silver; 1385
SPEEDELEC Maraton; 30; 14800; false; 12800; white; 889
SPEEDELEC Booster; 50; 17900; true; 3100; lemon; 1399
FOLDING BIKE West Bike; 14; 21; 8300; false; yellow; 189
E-BIKE Zaxboard; 30; 20300; false; 29000; pink; 2205
FOLDING BIKE Stern; 20; 1; 8200; false; orange; 615
SPEEDELEC Speedelec Minirider; 55; 15200; false; 5600; green; 899
FOLDING BIKE Flex; 24; 8; 9300; true; orange; 779
E-BIKE Scott; 20; 20900; false; 23000; dark gray; 1465
SPEEDELEC Xiaomi; 60; 13800; false; 12700; brown; 1475
FOLDING BIKE Polygon; 24; 6; 15900; true; violet; 405
E-BIKE ION; 20; 26900; false; 21000; golden; 1359
E-BIKE Mando Footloose; 40; 27600; false; 16000; flame; 2105
FOLDING BIKE Flex; 26; 3; 12000; false; pink; 835
SPEEDELEC AirWheel; 45; 13500; false; 4600; yellow; 1039
FOLDING BIKE West Bike; 24; 1; 10800; true; red; 525
SPEEDELEC Speedelec Minirider; 30; 19700; false; 3100; grey; 1649
FOLDING BIKE Make Bike; 26; 1; 10300; true; lemon; 765
FOLDING BIKE Make Bike; 14; 24; 13100; false; red; 625
SPEEDELEC Booster; 10; 7300; false; 7600; flame; 239
FOLDING BIKE Titan; 24; 7; 16900; true; green; 1339
SPEEDELEC Kugoo; 15; 10200; true; 12200; khaki; 815
E-BIKE Mercedes; 45; 24200; false; 28000; beige; 2399
SPEEDELEC Speedway; 25; 21900; false; 15000; rose; 559
